state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ga,2022,427000,435000,443000,456000,400000,465000,458000,381000,401000,383000,421000,365000
ga,2023,404000,434000,412000,380000,342000,333000,318000,319000,335000,315000,289000,281000
ga,2024,266000,270000,265000,271000,261000,258000,255000,277000,235000,282000,287000,283000
ga,2025,283000,268000,271000,279000,328000,281000,285000,286000,,,,
al,2018,81000,90000,97000,87000,97000,92000,94000,96000,95000,93000,94000,92000
al,2019,95000,87000,96000,99000,97000,97000,91000,93000,102000,107000,96000,85000
al,2020,100000,99000,79000,71000,97000,86000,106000,105000,101000,103000,100000,106000
al,2021,112000,117000,113000,143000,145000,149000,145000,149000,146000,162000,163000,149000
al,2022,149000,142000,161000,174000,158000,160000,162000,139000,153000,152000,151000,157000
al,2023,148000,145000,139000,139000,133000,137000,124000,138000,140000,123000,118000,131000
al,2024,120000,118000,113000,119000,117000,110000,122000,121000,108000,131000,131000,111000
al,2025,125000,109000,104000,114000,123000,113000,110000,105000,,,,
ar,2018,51000,54000,55000,53000,59000,57000,61000,58000,58000,60000,58000,57000
ar,2019,57000,59000,62000,60000,59000,59000,63000,67000,68000,68000,64000,61000
ar,2020,65000,58000,54000,52000,48000,47000,60000,57000,55000,59000,62000,61000
ar,2021,66000,60000,81000,83000,80000,88000,90000,103000,90000,91000,86000,90000
ar,2022,94000,96000,106000,107000,108000,106000,102000,98000,91000,98000,97000,100000
ar,2023,97000,91000,97000,95000,92000,88000,71000,88000,88000,82000,74000,82000
ar,2024,76000,79000,76000,79000,80000,78000,75000,79000,93000,78000,86000,80000
ar,2025,79000,78000,73000,74000,78000,70000,70000,68000,,,,
ky,2018,95000,82000,85000,82000,92000,93000,81000,92000,99000,93000,93000,100000
ky,2019,90000,94000,95000,90000,89000,86000,88000,89000,94000,96000,93000,81000
ky,2020,98000,88000,90000,70000,91000,104000,102000,98000,92000,101000,102000,97000
ky,2021,118000,113000,122000,165000,157000,156000,161000,169000,140000,156000,143000,159000
