Nonpayment Rates by Institution,,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
002208,Simmons University,"PRIVATE, NONPROFIT",MA,9000,6%
003917,University of Wisconsin - Eau Claire,PUBLIC,WI,9100,6%
002050,University of New England,"PRIVATE, NONPROFIT",ME,9200,6%
010395,University of San Diego,"PRIVATE, NONPROFIT",CA,10000,6%
002388,University of Minnesota  Duluth,PUBLIC,MN,10100,6%
001164,Chapman University,"PRIVATE, NONPROFIT",CA,10500,6%
002029,Tulane University,"PRIVATE, NONPROFIT",LA,11000,6%
003696,University of Vermont and State Agricultural College,PUBLIC,VT,11500,6%
002836,Binghamton University,PUBLIC,NY,14100,6%
001434,American University (The),"PRIVATE, NONPROFIT",DC,14500,6%
001536,University of Miami,"PRIVATE, NONPROFIT",FL,15500,6%
001312,"University of California, Berkeley",PUBLIC,CA,19700,6%
002103,"University of Maryland, College Park",PUBLIC,MD,21200,6%
001317,"University of California, San Diego",PUBLIC,CA,21500,6%
001825,Purdue University,PUBLIC,IN,22100,6%
003754,Virginia Polytechnic Institute & State University,PUBLIC,VA,23000,6%
001313,"University of California, Davis",PUBLIC,CA,24400,6%
001598,University of Georgia,PUBLIC,GA,26500,6%
003798,University of Washington - Seattle,PUBLIC,WA,35400,6%
002785,New York University,"PRIVATE, NONPROFIT",NY,41800,6%
034194,Northeastern Seminary,"PRIVATE, NONPROFIT",NY,200,7%
006483,Watts College of Nursing,"PRIVATE, NONPROFIT",NC,200,7%
030612,Midwest College of Acupuncture and Herbal Medicine,PROPRIETARY,WI,200,7%
006838,Dalhousie University,FOREIGN,FC,200,7%
036193,University of Greenwich,FOREIGN,FC,200,7%
010816,Kingston University,FOREIGN,FC,200,7%
031025,American University Of Rome,FOREIGN,FC,300,7%
002710,Cooper Union for the Advancement of Science & Art (The),"PRIVATE, NONPROFIT",NY,400,7%
001173,Pomona College,"PRIVATE, NONPROFIT",CA,400,7%
006445,Bill and Sandra Pomeroy College of Nursing at Crouse Hospital,"PRIVATE, NONPROFIT",NY,500,7%
006240,Saint Francis Medical Center College of Nursing,"PRIVATE, NONPROFIT",IL,500,7%
035103,Erikson Institute,"PRIVATE, NONPROFIT",IL,500,7%
010043,Bon Secours Memorial College of Nursing,"PRIVATE, NONPROFIT",VA,500,7%
002194,New England Conservatory of Music,"PRIVATE, NONPROFIT",MA,600,7%
006438,Mount Sinai Phillips School of Nursing,"PRIVATE, NONPROFIT",NY,600,7%
031065,Sentara College of Health Sciences,"PRIVATE, NONPROFIT",VA,600,7%
039003,Medical University of the Americas,FOREIGN,FC,700,7%
006467,Saint Joseph's College of Nursing at St Joseph's Hospital Health Cente,"PRIVATE, NONPROFIT",NY,700,7%
025784,Maryland University of Integrative Health,"PRIVATE, NONPROFIT",MD,1100,7%
001424,Wesleyan University,"PRIVATE, NONPROFIT",CT,1200,7%
003519,Rhodes College,"PRIVATE, NONPROFIT",TN,1200,7%
002526,Carroll College,"PRIVATE, NONPROFIT",MT,1300,7%
007035,Kettering College,"PRIVATE, NONPROFIT",OH,1300,7%
001859,Dordt University,"PRIVATE, NONPROFIT",IA,1300,7%
042808,Texas Tech University Health Sciences Center El Paso,PUBLIC,TX,1400,7%
009862,Clarkson College,"PRIVATE, NONPROFIT",NE,1600,7%
003409,Rhode Island School of Design,"PRIVATE, NONPROFIT",RI,1600,7%
003265,Franklin & Marshall College,"PRIVATE, NONPROFIT",PA,1600,7%
003647,Trinity University,"PRIVATE, NONPROFIT",TX,1600,7%
002813,Sarah Lawrence College,"PRIVATE, NONPROFIT",NY,1700,7%
001116,Art Center College of Design,"PRIVATE, NONPROFIT",CA,1700,7%
012627,Thomas M. Cooley Law School,"PRIVATE, NONPROFIT",MI,1800,7%
001838,Taylor University,"PRIVATE, NONPROFIT",IN,1900,7%
003470,South Dakota School of Mines and Technology,PUBLIC,SD,1900,7%
003238,Bucknell University,"PRIVATE, NONPROFIT",PA,2100,7%
003797,University of Puget Sound,"PRIVATE, NONPROFIT",WA,2400,7%
003268,Gettysburg College,"PRIVATE, NONPROFIT",PA,2400,7%
002139,Clark University,"PRIVATE, NONPROFIT",MA,2500,7%
003089,Ohio Northern University,"PRIVATE, NONPROFIT",OH,3400,7%
003785,Pacific Lutheran University,"PRIVATE, NONPROFIT",WA,3500,7%
003402,Bryant University,"PRIVATE, NONPROFIT",RI,3500,7%
